character,universe,prop_count,page_length,gender
arthur_curry,future_state,11,363534,male
arthur_curry,futures_end,8,374642,male
arthur_curry,harley_quinn_tv_series,12,385322,male
arthur_curry,injustice,11,416327,male
arthur_curry,justice,12,365093,male
arthur_curry,justice_league_action,13,364334,male
arthur_curry,lil_gotham,9,379108,male
arthur_curry,scooby_doo_team_up,10,381839,male
arthur_curry,super_friends,11,380412,male
arthur_curry,the_wild_storm,8,374590,male
arthur_curry,tidebreaker,8,374501,male
arthur_curry,tiny_titans,13,364665,male
arthur_curry,trapped_in_time,12,379731,male
arthur_curry,where_the_light_cannot_reach,10,378364,male
arthur_curry_jr,justice,11,353307,male
arthur_curry_jr,new_earth,11,384815,male
arthur_curry_jr,tiny_titans,12,358452,male
arthur_curry_sr,the_brave_and_the_bold,12,387915,male
arthur_joseph_curry,new_earth,9,387987,male
arthur_joseph_curry,the_nail,13,357802,male
arthur_jr,dcau,9,377085,male
arthur_light,earth_5_8,12,359708,male
arthur_light,new_earth,12,425648,male
arthur_light,prime_earth,13,369662,male
arthur_light,superman_vs_the_elite,9,354118,male
arthur_light,teen_titans_go_tv_series,9,354514,male
arthur_light,teen_titans_tv_series,12,358513,male
arthur_light,the_new_order,10,348678,male
arthur_light,titans_tv_series,11,358044,male
arthur_mckenzie,amalgam_universe,6,378336,male
arthur_pendragon,prime_earth,8,358508,male
arthur_penn,gotham,10,382350,male
arthur_sadim,earth_one,4,353503,male
arthur_stone,mash_up,5,352443,male
arthur_thompson,earth_9,8,354079,male
artredis_qon,prime_earth,7,356068,male
artur,earth_16,10,373668,male
aruna_shende,new_earth,10,355837,female
arune_singh,post_rebirth,10,362352,male
arvin_halliday,new_earth,6,352343,male
arzaz,new_earth,7,351076,male
asa,dc_animated_movie_universe,8,368364,female
asa,prime_earth,12,379419,female
asa_ezaak,earth_one,8,354428,male
asaf,prime_earth,6,353758,male
asami_koizumi,earth_16,7,353146,female
ascalon,prime_earth,8,375364,genderless
asclepia,prime_earth,12,382200,female
asclepia,wonder_woman_tv_series,9,351488,female
asha_del_nar,new_earth,6,365609,female
ashiya,new_earth,7,352852,female
ashley_addams,prime_earth,7,376281,female
ashley_halberstam,super_friends,8,353616,male
ashley_halberstam,tiny_titans,7,348302,male
ashley_powell,new_earth,6,355155,female
ashok_desai,new_earth,9,355698,male
askana,prime_earth,5,349474,female
